Price,Address,City,Beds,Baths,Square Feet
2299000,"18002 Aberdeen Lane, Villa Park, CA 92861",Villa Park,6.0,4.0,3708.0
850000,"16881 Canyon Lane, Huntington Beach, CA 92649",Huntington Beach,3.0,2.0,1330.0
1169000,"24201 Bark Street, Lake Forest, CA 92630",Lake Forest,3.0,2.0,1900.0
2400000,"18612 Demion Lane, Huntington Beach, CA 92646",Huntington Beach,9.0,7.0,7192.0
3388000,"1083 Tia Juana Street, Laguna Beach, CA 92651",Laguna Beach,3.0,3.0,1772.0
1875000,"347 Las Riendas Drive, Fullerton, CA 92835",Fullerton,3.0,3.0,1986.0
2198000,"125 E Avenida Cornelio, San Clemente, CA 92672",San Clemente,4.0,3.0,3175.0
595000,"16578 Montego Way, Tustin, CA 92780",Tustin,3.0,2.0,1188.0
595000,"16609 Montego Way, Tustin, CA 92780",Tustin,3.0,2.0,1188.0
1195000,"1400 E Wilshire Avenue, Fullerton, CA 92831",Fullerton,4.0,2.0,1978.0
1550000,"9109 Bestel Avenue, Garden Grove, CA 92844",Garden Grove,9.0,6.0,2967.0
2299000,"1814 Tanager Drive, Costa Mesa, CA 92626",Costa Mesa,4.0,3.0,2616.0
543400,"2270 Via Puerta # N, Laguna Woods, CA 92637",Laguna Woods,2.0,2.0,1057.0
3200000,"5072 Grandview Avenue, Yorba Linda, CA 92886",Yorba Linda,4.0,4.0,3682.0
1795000,"9782 Silver Strand Drive, Huntington Beach, CA 92646",Huntington Beach,4.0,3.0,1900.0
999900,"7882 Yorkshire Avenue, Stanton, CA 90680",Stanton,4.0,2.0,1255.0
1150000,"1410 S Urbana, Anaheim, CA 92805",Anaheim,4.0,4.0,1913.0
4399000,"1453 Galaxy Drive, Newport Beach, CA 92660",Newport Beach,6.0,5.0,3610.0
2750000,"23972 Flores Avenue, Laguna Niguel, CA 92677",Laguna Niguel,5.0,4.0,3560.0
620000,"25601 Indian Hill Lane # H, Laguna Hills, CA 92653",Laguna Hills,2.0,2.0,1013.0
1575000,"588 Mc Fadden Street, Placentia, CA 92870",Placentia,4.0,3.0,2255.0
1475000,"34152 Crystal Lantern Street, Dana Point, CA 92629",Dana Point,3.0,2.0,1556.0
1700000,"128 Yellow Pine, Irvine, CA 92618",Irvine,4.0,3.0,1935.0
2299995,"13 Cielo Azul, Mission Viejo, CA 92692",Mission Viejo,4.0,4.0,3273.0
1219990,"3006 Morning Glory, Rancho Mission Viejo, CA 92694",Rancho Mission Viejo,4.0,4.0,1818.0
1795000,"460 S Olive Street # F, Orange, CA 92866",Orange,7.0,6.0,4328.0
1599000,"5538 Via La Mesa # B, Laguna Woods, CA 92637",Laguna Woods,3.0,2.0,1850.0
789000,"99 Rockwood # 50, Irvine, CA 92614",Irvine,2.0,2.0,917.0
1150000,"14171 Wiltshire Street, Westminster, CA 92683",Westminster,3.0,2.0,1718.0
2225000,"1068 Hampton Drive, Costa Mesa, CA 92627",Costa Mesa,4.0,4.0,2274.0
1350000,"24440 Via Arriba Linda, Yorba Linda, CA 92887",Yorba Linda,4.0,3.0,2287.0
949000,"914 Toddy Street, Santa Ana, CA 92703",Santa Ana,3.0,2.0,1311.0
529925,"23556 Cambridge Road # 327, Yorba Linda, CA 92887",Yorba Linda,2.0,2.0,1080.0
1300000,"1251 W Daffodil Avenue, La Habra, CA 90631",La Habra,4.0,4.0,2872.0
389900,"1001 E Camile Street # H1, Santa Ana, CA 92701",Santa Ana,2.0,2.0,870.0
1499988,"18320 Timberlane Drive, Yorba Linda, CA 92886",Yorba Linda,4.0,2.0,2351.0
589900,"31432 Los Rios Street # 13, San Juan Capistrano, CA 92675",San Juan Capistrano,3.0,2.0,1141.0
1575000,"2043 Federal Avenue, Costa Mesa, CA 92627",Costa Mesa,3.0,3.0,2013.0
2595000,"923 Avenida Salvador, San Clemente, CA 92672",San Clemente,4.0,3.0,2842.0
1975000,"110 N Belinda Circle, Anaheim, CA 92801",Anaheim,9.0,5.0,3687.0
845000,"735 Wingate Bay # 50, Costa Mesa, CA 92626",Costa Mesa,2.0,2.0,1131.0
