Price,Address,City,Beds,Baths,Square Feet
"$ 2,790,000","27975 Loretha Lane, Laguna Niguel, CA 92677",Laguna Niguel,4 bds,4 ba,3284 sqft
"$ 1,595,000","330 Ford Road, Costa Mesa, CA 92627",Costa Mesa,3 bds,3 ba,1714 sqft
"$ 2,798,000","77 Gravity, Irvine, CA 92618",Irvine,4 bds,4 ba,3192 sqft
$ 1.25,"4195 Gayle St., Orange, CA 92865",Orange,3 bds,2 ba,1828 sqft
"$ 1,500,000","33611 Rising Tide Court, Dana Point, CA 92629",Dana Point,3 bds,3 ba,1825 sqft
"$ 5,875,000","520 E Walnut Street, Santa Ana, CA 92701",Santa Ana,2 bds,2 ba,15552 sqft
"$ 762,990","1553 Lima Way Unit 4, Placentia, CA 92870",Placentia,2 bds,3 ba,1320 sqft
"$ 495,000","1040 W Macarthur Boulevard # 156, Santa Ana, CA 92707",Santa Ana,2 bds,1 bath,905 sqft
"$ 1,299,900","2000 Pacific Coast Hwy # 107, Huntington Beach, CA 92648",Huntington Beach,2 bds,3 ba,1174 sqft
"$ 910,000","1225 N Mclean Drive, Santa Ana, CA 92703",Santa Ana,3 bds,2 ba,1170 sqft
"$ 4,595,000","602 Iris Avenue, Corona Del Mar, CA 92625",Corona Del Mar,3 bds,5 ba,2750 sqft
"$ 399,000","14911 Kitterman Drive, Silverado Canyon, CA 92676",Silverado Canyon,3 bds,2 ba,2320 sqft
"$ 1,195,000","2290 N Maplewood Street, Orange, CA 92865",Orange,4 bds,2 ba,1852 sqft
"$ 2,299,000","18002 Aberdeen Lane, Villa Park, CA 92861",Villa Park,6 bds,4 ba,3708 sqft
"$ 850,000","16881 Canyon Lane, Huntington Beach, CA 92649",Huntington Beach,3 bds,2 ba,1330 sqft
"$ 1,169,000","24201 Bark Street, Lake Forest, CA 92630",Lake Forest,3 bds,2 ba,1900 sqft
"$ 2,400,000","18612 Demion Lane, Huntington Beach, CA 92646",Huntington Beach,9 bds,7 ba,7192 sqft
